subsystem,reaction
DOPAVESSEC_1,DOPAVESSEC_1
DPCOAtl,DPCOAtl
DPGase,DPGase
DSAT,DSAT
DTDPtn,DTDPtn
DUDPtn,DUDPtn
DURAD,DURAD
DURAD2,DURAD2
DURIK1,DURIK1
DURIt,DURIt
DUTPDPm,DUTPDPm
EBASTINEOHtr,EBASTINEOHtr
EBASTINEte,EBASTINEte
ECOAH12m,ECOAH12m
ECOAH9m,ECOAH9m
EICOSTETCPT1,EICOSTETCPT1
ENGASE2ly,ENGASE2ly
ESTRADIOLGLCtr,ESTRADIOLGLCtr
ESTRADIOLt,ESTRADIOLt
ESTRIOLGLCte,ESTRIOLGLCte
ESTRIOLtr,ESTRIOLtr
ESTRONEGLCt,ESTRONEGLCt
ESTRONESt,ESTRONESt
ESTRONESt2,ESTRONESt2
ESTRONEtr,ESTRONEtr
ETF,ETF
ETFQO,ETFQO
ETHAK,ETHAK
EX_10fthf5glu_e,EX_10fthf5glu_e
EX_10fthf6glu_e,EX_10fthf6glu_e
EX_10fthf7glu_e,EX_10fthf7glu_e
EX_11_cis_retfa_e,EX_11_cis_retfa_e
EX_13_cis_retnglc_e,EX_13_cis_retnglc_e
EX_24nph_e,EX_24nph_e
EX_25hvitd3_e,EX_25hvitd3_e
EX_2hb_e,EX_2hb_e
EX_2mcit_e,EX_2mcit_e
EX_34dhphe_e,EX_34dhphe_e
EX_35cgmp_e,EX_35cgmp_e
EX_4hphac_e,EX_4hphac_e
EX_4mptnl_e,EX_4mptnl_e
EX_7dhf_e,EX_7dhf_e
EX_7thf_e,EX_7thf_e
EX_9_cis_retfa_e,EX_9_cis_retfa_e
EX_acetone_e,EX_acetone_e
EX_acgalfucgalacgalfuc12gal14acglcgalgluside_hs_e,EX_acgalfucgalacgalfuc12gal14acglcgalgluside_hs_e
EX_acnacngal14acglcgalgluside_hs_e,EX_acnacngal14acglcgalgluside_hs_e
EX_adp_e,EX_adp_e
EX_ahandrostanglc_e,EX_ahandrostanglc_e
EX_ala_B_e,EX_ala_B_e
EX_ala__D_e,EX_ala__D_e
EX_aldstrn_e,EX_aldstrn_e
EX_andrstrn_e,EX_andrstrn_e
EX_andrstrnglc_e,EX_andrstrnglc_e
EX_antipyrene_e,EX_antipyrene_e
EX_appnn_e,EX_appnn_e
EX_arach_e,EX_arach_e
EX_avite1_e,EX_avite1_e
EX_avite2_e,EX_avite2_e
EX_bhb_e,EX_bhb_e
EX_bildglcur_e,EX_bildglcur_e
EX_biocyt_e,EX_biocyt_e
EX_bvite_e,EX_bvite_e
EX_caro_e,EX_caro_e
EX_carveol_e,EX_carveol_e
EX_chol_e,EX_chol_e
EX_cholate_e,EX_cholate_e
EX_chtn_e,EX_chtn_e
EX_clpnd_e,EX_clpnd_e
EX_coumarin_e,EX_coumarin_e
EX_creat_e,EX_creat_e
EX_crmp_hs_e,EX_crmp_hs_e
EX_crn_e,EX_crn_e
EX_crtstrn_e,EX_crtstrn_e
EX_crvnc_e,EX_crvnc_e
EX_cspg_c_e,EX_cspg_c_e
EX_cspg_e_e,EX_cspg_e_e
EX_cyan_e,EX_cyan_e
EX_dag_hs_e,EX_dag_hs_e
EX_dcsptn1_e,EX_dcsptn1_e
EX_dhdascb_e,EX_dhdascb_e
EX_dheas_e,EX_dheas_e
EX_dhf_e,EX_dhf_e
EX_digalsgalside_hs_e,EX_digalsgalside_hs_e
EX_dlnlcg_e,EX_dlnlcg_e
EX_dmantipyrine_e,EX_dmantipyrine_e
EX_dmhptcrn_e,EX_dmhptcrn_e
EX_dopa_e,EX_dopa_e
EX_eaflatoxin_e,EX_eaflatoxin_e
EX_ebastine_e,EX_ebastine_e
EX_eicostet_e,EX_eicostet_e
EX_estradiolglc_e,EX_estradiolglc_e
EX_fucacngalacglcgalgluside_hs_e,EX_fucacngalacglcgalgluside_hs_e
EX_fucfuc12gal14acglcgalgluside_hs_e,EX_fucfuc12gal14acglcgalgluside_hs_e
EX_fucfucfucgalacglc13galacglcgal14acglcgalgluside_hs_e,EX_fucfucfucgalacglc13galacglcgal14acglcgalgluside_hs_e
EX_fucfucgalacglcgalgluside_hs_e,EX_fucfucgalacglcgalgluside_hs_e
EX_fucgal14acglcgalgluside_hs_e,EX_fucgal14acglcgalgluside_hs_e
EX_fucgalgbside_hs_e,EX_fucgalgbside_hs_e
EX_fuc__L_e,EX_fuc__L_e
EX_galacglcgalgbside_hs_e,EX_galacglcgalgbside_hs_e
EX_galfucgalacglcgal14acglcgalgluside_hs_e,EX_galfucgalacglcgal14acglcgalgluside_hs_e
EX_gd1c_hs_e,EX_gd1c_hs_e
EX_gdp_e,EX_gdp_e
EX_gluala_e,EX_gluala_e
EX_glyc__S_e,EX_glyc__S_e
EX_gp1calpha_hs_e,EX_gp1calpha_hs_e
EX_gq1balpha_hs_e,EX_gq1balpha_hs_e
EX_gsn_e,EX_gsn_e
EX_gt1a_hs_e,EX_gt1a_hs_e
EX_gthox_e,EX_gthox_e
EX_ha_e,EX_ha_e
EX_ha_pre1_e,EX_ha_pre1_e
EX_hcoumarin_e,EX_hcoumarin_e
EX_hdcea_e,EX_hdcea_e
EX_hexc_e,EX_hexc_e
EX_hom__L_e,EX_hom__L_e
EX_hspg_e,EX_hspg_e
EX_htaxol_e,EX_htaxol_e
EX_i_e,EX_i_e
EX_imp_e,EX_imp_e
EX_ksi_e,EX_ksi_e
EX_ksii_core4_e,EX_ksii_core4_e
EX_lac__D_e,EX_lac__D_e
EX_cysi__L_e,EX_cysi__L_e
EX_leuktrB4_e,EX_leuktrB4_e
EX_leuktrC4_e,EX_leuktrC4_e
EX_leuktrD4_e,EX_leuktrD4_e
EX_leuktrE4_e,EX_leuktrE4_e
EX_limnen_e,EX_limnen_e
EX_lipoate_e,EX_lipoate_e
EX_lnlc_e,EX_lnlc_e
EX_lnlnca_e,EX_lnlnca_e
EX_lpchol_hs_e,EX_lpchol_hs_e
EX_meoh_e,EX_meoh_e
EX_mercplaccys_e,EX_mercplaccys_e
EX_mthgxl_e,EX_mthgxl_e
EX_nad_e,EX_nad_e
EX_nadp_e,EX_nadp_e
